Category,Number of Records,Order Date,Sales Target,Segment
Furniture,1,3/26/2016,374,Home Office
Office Supplies,1,10/24/2016,25,Corporate
Technology,1,2/27/2016,183,Corporate
Furniture,1,9/16/2015,23,Corporate
Office Supplies,1,12/23/2014,93,Corporate
Technology,1,02-10-2015,75,Corporate
Office Supplies,1,12-08-2015,34,Consumer
Office Supplies,1,4/21/2016,8,Corporate
Technology,1,01-06-2014,230,Consumer
Furniture,1,08-09-2014,100,Home Office
Office Supplies,1,12/18/2016,563,Consumer
Office Supplies,1,03-12-2014,110,Home Office
Technology,1,01-09-2014,574,Consumer
Furniture,1,5/21/2015,919,Corporate
Furniture,1,7/27/2015,962,Home Office
Office Supplies,1,04-03-2016,48,Consumer
Office Supplies,1,5/17/2014,172,Corporate
Office Supplies,1,08-05-2014,571,Home Office
Technology,1,1/13/2016,238,Consumer
Technology,1,10/14/2015,59,Home Office
Office Supplies,1,9/26/2016,118,Consumer
Technology,1,4/29/2015,24,Consumer
Office Supplies,1,10-10-2016,496,Consumer
Office Supplies,1,12-09-2014,10,Home Office
Technology,1,4/17/2016,407,Consumer
Furniture,1,2/13/2015,363,Consumer
Office Supplies,1,11/18/2015,338,Consumer
Office Supplies,1,06-11-2016,14,Corporate
Office Supplies,1,9/26/2016,168,Home Office
Furniture,1,8/13/2014,105,Consumer
Office Supplies,1,10/17/2016,487,Consumer
Technology,1,6/16/2016,755,Consumer
Office Supplies,1,05-09-2015,41,Home Office
Furniture,1,05-02-2014,1508,Consumer
Furniture,1,12-09-2014,41,Corporate
Office Supplies,1,03-04-2016,45,Consumer
Office Supplies,1,12/29/2016,80,Corporate
Office Supplies,1,12-12-2016,88,Home Office
Technology,1,10/29/2016,809,Consumer
Technology,1,09-05-2014,248,Corporate
Office Supplies,1,07-02-2014,35,Consumer
Furniture,1,03-09-2014,1548,Consumer
Furniture,1,2/15/2015,109,Corporate
Office Supplies,1,7/27/2016,9,Consumer
Office Supplies,1,5/14/2014,130,Corporate
Technology,1,03-03-2016,2156,Consumer
Technology,1,5/26/2014,105,Corporate
Office Supplies,1,06-02-2014,1507,Consumer
Technology,1,4/21/2016,1122,Consumer
Furniture,1,12-10-2016,94,Consumer
Furniture,1,02-03-2014,61,Corporate
Office Supplies,1,6/28/2014,223,Consumer
Office Supplies,1,3/22/2016,96,Corporate
Office Supplies,1,11-08-2016,858,Home Office
Technology,1,1/19/2014,99,Consumer
Technology,1,11/16/2016,334,Corporate
Office Supplies,1,1/18/2015,290,Consumer
Furniture,1,02-01-2015,578,Corporate
Office Supplies,1,4/23/2016,325,Consumer
Office Supplies,1,12/27/2014,12,Corporate
Technology,1,2/14/2016,311,Corporate
Furniture,1,10-07-2016,346,Consumer
Office Supplies,1,1/20/2015,19,Consumer
Technology,1,2/16/2016,404,Consumer
Office Supplies,1,2/17/2014,61,Consumer
Technology,1,7/16/2016,77,Consumer
Office Supplies,1,8/29/2014,23,Home Office
Furniture,1,01-11-2014,113,Consumer
Office Supplies,1,03-12-2014,705,Consumer
Office Supplies,1,09-10-2016,33,Corporate
Furniture,1,10-10-2015,1514,Consumer
Furniture,1,12/21/2014,66,Corporate
Office Supplies,1,8/25/2015,78,Consumer
Office Supplies,1,6/26/2015,112,Corporate
Technology,1,1/18/2014,290,Corporate
Furniture,1,9/13/2015,1382,Consumer
Office Supplies,1,5/14/2016,24,Consumer
Office Supplies,1,09-09-2016,45,Home Office
Technology,1,10/17/2015,1490,Consumer
Office Supplies,1,9/13/2016,42,Consumer
Office Supplies,1,07-08-2014,4000,Home Office
Office Supplies,1,05-05-2014,8,Home Office
Furniture,1,11/28/2015,72,Corporate
Furniture,1,5/19/2014,213,Home Office
Office Supplies,1,09-08-2014,40,Corporate
Technology,1,7/26/2014,900,Consumer
Technology,1,09-07-2015,204,Corporate
Furniture,1,9/28/2016,64,Corporate
Office Supplies,1,2/24/2016,72,Consumer
Office Supplies,1,12-05-2015,227,Corporate
Technology,1,5/13/2016,95,Corporate
Office Supplies,1,10/18/2016,9,Corporate
Technology,1,11/15/2015,141,Corporate
Furniture,1,07-08-2016,836,Consumer
Furniture,1,12/20/2015,593,Home Office
Office Supplies,1,2/27/2016,314,Consumer
Office Supplies,1,10-05-2016,14,Home Office
Technology,1,4/28/2015,360,Consumer
Furniture,1,4/30/2014,47,Corporate
Office Supplies,1,1/28/2015,128,Corporate
Technology,1,1/27/2014,994,Corporate
Furniture,1,1/24/2015,264,Consumer
Office Supplies,1,07-01-2014,55,Consumer
Furniture,1,10/30/2014,301,Consumer
Furniture,1,3/31/2014,7,Corporate
Office Supplies,1,05-03-2015,465,Consumer
Office Supplies,1,3/26/2014,41,Home Office
Technology,1,3/20/2014,2828,Consumer
Office Supplies,1,4/14/2016,46,Consumer
Office Supplies,1,02-09-2016,107,Home Office
Technology,1,7/25/2016,46,Consumer
Furniture,1,7/19/2014,198,Home Office
Furniture,1,5/18/2015,23,Consumer
Office Supplies,1,7/14/2015,213,Consumer
Technology,1,01-10-2016,829,Consumer
Office Supplies,1,06-07-2014,16,Home Office
Technology,1,06-03-2016,229,Home Office
Furniture,1,05-06-2016,1235,Corporate
Office Supplies,1,5/30/2016,1163,Consumer
Office Supplies,1,10/17/2014,502,Home Office
Office Supplies,1,7/14/2014,73,Corporate
Technology,1,03-06-2016,266,Home Office
Office Supplies,1,06-07-2015,89,Consumer
Office Supplies,1,02-05-2015,51,Corporate
Office Supplies,1,10-02-2014,10,Corporate
Furniture,1,12/15/2015,155,Consumer
Office Supplies,1,02-07-2014,6,Consumer
Office Supplies,1,09-07-2015,21,Consumer
Office Supplies,1,11/18/2016,53,Corporate
Office Supplies,1,7/24/2016,104,Consumer
Technology,1,10/20/2016,3337,Consumer
Furniture,1,06-05-2016,69,Home Office
Office Supplies,1,06-07-2014,149,Consumer
Office Supplies,1,06-01-2016,231,Corporate
Office Supplies,1,4/29/2016,757,Home Office
Furniture,1,4/22/2016,518,Consumer
Office Supplies,1,01-06-2014,8,Consumer
Furniture,1,05-11-2016,13,Home Office
Office Supplies,1,6/15/2015,719,Consumer
Office Supplies,1,04-03-2014,60,Corporate
Office Supplies,1,10/31/2014,128,Home Office
Technology,1,02-07-2016,601,Corporate
Furniture,1,02-12-2015,208,Consumer
Office Supplies,1,08-12-2015,160,Home Office
Technology,1,5/31/2015,380,Consumer
Technology,1,12/20/2015,166,Home Office
Office Supplies,1,08-05-2015,660,Consumer
Office Supplies,1,12-10-2015,6,Home Office
Technology,1,5/13/2015,42,Consumer
Furniture,1,11/25/2015,394,Corporate
Office Supplies,1,06-07-2014,663,Consumer
Office Supplies,1,1/27/2015,8,Corporate
Office Supplies,1,09-05-2016,77,Home Office
Office Supplies,1,6/17/2014,143,Consumer
Technology,1,05-01-2015,387,Consumer
Technology,1,6/21/2015,166,Home Office
Furniture,1,11-05-2016,4213,Consumer
Furniture,1,8/24/2015,61,Corporate
Furniture,1,11/28/2016,24,Home Office
Office Supplies,1,5/31/2015,300,Consumer
Office Supplies,1,11-07-2015,688,Corporate
Office Supplies,1,08-06-2015,7,Home Office
Office Supplies,1,2/28/2016,467,Consumer
Office Supplies,1,11/13/2016,51,Corporate
Office Supplies,1,11-08-2015,10,Home Office
Technology,1,07-02-2015,294,Consumer
Furniture,1,7/24/2014,34,Home Office
Office Supplies,1,12-12-2014,16,Consumer
Office Supplies,1,04-11-2015,28,Home Office
Technology,1,10/18/2014,1088,Consumer
Furniture,1,12/23/2016,1294,Corporate
Office Supplies,1,12-08-2014,9,Corporate
Office Supplies,1,8/23/2014,7,Corporate
Office Supplies,1,3/27/2014,50,Home Office
Furniture,1,10-10-2014,182,Corporate
Office Supplies,1,4/17/2015,123,Consumer
Office Supplies,1,7/17/2014,841,Corporate
Technology,1,8/23/2015,2,Consumer
Furniture,1,10/24/2014,327,Consumer
Office Supplies,1,02-11-2014,115,Consumer
Office Supplies,1,7/13/2014,100,Home Office
Technology,1,07-12-2015,181,Consumer
Furniture,1,10/16/2015,32,Consumer
Furniture,1,12/24/2015,1161,Corporate
Office Supplies,1,11/19/2015,137,Consumer
Office Supplies,1,06-10-2014,1709,Corporate
Technology,1,9/21/2015,55,Consumer
Technology,1,8/22/2015,227,Corporate
Furniture,1,12-04-2014,43,Consumer
Office Supplies,1,03-04-2014,47,Consumer
Office Supplies,1,12/22/2014,27,Home Office
Technology,1,7/27/2015,49,Consumer
Office Supplies,1,04-03-2016,39,Consumer
Office Supplies,1,1/16/2014,73,Corporate
Office Supplies,1,07-09-2016,39,Home Office
Technology,1,11/13/2014,810,Corporate
Technology,1,2/25/2014,63,Home Office
Furniture,1,4/13/2016,50,Home Office
Furniture,1,4/26/2016,425,Consumer
Office Supplies,1,11/27/2015,79,Consumer
Technology,1,09-12-2015,12,Consumer
Technology,1,07-09-2015,221,Corporate
Furniture,1,4/28/2014,201,Consumer
Office Supplies,1,11/30/2015,3362,Consumer
Technology,1,11/29/2015,125,Consumer
Furniture,1,06-01-2014,60,Consumer
Furniture,1,09-04-2015,656,Corporate
Furniture,1,3/19/2016,68,Home Office
Office Supplies,1,9/18/2016,615,Consumer
Office Supplies,1,7/27/2016,38,Corporate
Office Supplies,1,8/21/2015,23,Home Office
Technology,1,10-07-2015,505,Consumer
Furniture,1,11/20/2014,11,Consumer
Office Supplies,1,10-08-2014,211,Consumer
Office Supplies,1,9/28/2016,219,Home Office
Furniture,1,09-01-2016,227,Corporate
Technology,1,11/16/2016,118,Consumer
Technology,1,09-11-2014,128,Corporate
Technology,1,1/23/2015,282,Home Office
Technology,1,02-07-2016,93,Consumer
Furniture,1,08-04-2015,765,Home Office
Office Supplies,1,6/24/2015,1174,Consumer
Furniture,1,04-02-2016,27,Corporate
Office Supplies,1,03-12-2015,5,Consumer
Office Supplies,1,9/15/2014,148,Corporate
Technology,1,08-02-2016,569,Consumer
Technology,1,10/29/2015,65,Corporate
Furniture,1,10-04-2015,241,Consumer
Office Supplies,1,5/15/2014,453,Consumer
Office Supplies,1,10/14/2015,115,Home Office
Furniture,1,12/17/2014,366,Consumer
Office Supplies,1,02-07-2015,182,Consumer
Office Supplies,1,11-12-2014,46,Home Office
Technology,1,7/17/2015,933,Consumer
Technology,1,5/22/2016,36,Corporate
Furniture,1,1/25/2016,950,Corporate
Office Supplies,1,10-08-2014,20,Corporate
Office Supplies,1,10/13/2015,245,Home Office
Furniture,1,2/28/2014,124,Consumer
Office Supplies,1,8/22/2016,26,Consumer
Technology,1,01-05-2016,243,Home Office
Furniture,1,08-05-2016,870,Consumer
Furniture,1,7/27/2016,142,Corporate
Office Supplies,1,5/17/2014,604,Consumer
Office Supplies,1,9/19/2014,13,Corporate
Office Supplies,1,6/26/2014,17,Home Office
Technology,1,11/29/2014,77,Corporate
Furniture,1,4/29/2014,63,Consumer
Furniture,1,09-05-2014,429,Corporate
Office Supplies,1,08-07-2015,321,Consumer
Office Supplies,1,11/29/2015,6,Corporate
Office Supplies,1,06-03-2016,39,Home Office
Technology,1,7/14/2015,1111,Consumer
Furniture,1,08-07-2015,9,Corporate
Office Supplies,1,01-02-2016,33,Consumer
Office Supplies,1,3/20/2015,21,Corporate
Office Supplies,1,5/16/2016,18,Home Office
Technology,1,10/17/2015,30,Consumer
Furniture,1,4/13/2014,175,Consumer
Furniture,1,11/25/2016,153,Corporate
Furniture,1,8/20/2016,329,Home Office
Office Supplies,1,9/22/2015,533,Corporate
Technology,1,4/22/2014,114,Corporate
Office Supplies,1,7/28/2016,19,Consumer
Furniture,1,1/22/2014,187,Consumer
Office Supplies,1,12-01-2015,418,Consumer
Office Supplies,1,2/24/2015,183,Corporate
Technology,1,11/23/2015,772,Consumer
Office Supplies,1,3/27/2015,39,Consumer
Furniture,1,5/19/2014,643,Consumer
Furniture,1,12-04-2014,216,Corporate
Office Supplies,1,11-08-2014,140,Consumer
Office Supplies,1,12/27/2016,243,Corporate
Technology,1,03-01-2014,687,Corporate
Furniture,1,8/28/2014,423,Consumer
Office Supplies,1,4/18/2016,8,Consumer
Technology,1,9/14/2014,1504,Consumer
Furniture,1,3/22/2015,2028,Consumer
Office Supplies,1,6/19/2016,21,Consumer
Office Supplies,1,4/30/2016,33,Corporate
Office Supplies,1,8/16/2015,41,Home Office
Furniture,1,06-03-2015,553,Consumer
Office Supplies,1,06-09-2015,285,Consumer
Furniture,1,08-07-2015,2090,Corporate
Furniture,1,01-01-2017,151,Home Office
Office Supplies,1,03-03-2016,89,Corporate
Office Supplies,1,09-06-2015,147,Home Office
Technology,1,8/21/2016,510,Corporate
Furniture,1,03-01-2016,199,Consumer
Furniture,1,1/29/2014,232,Corporate
Office Supplies,1,05-08-2016,22,Corporate
Furniture,1,10/14/2014,7,Consumer
Office Supplies,1,06-08-2014,4,Consumer
Office Supplies,1,9/14/2016,6,Corporate
Technology,1,11-07-2014,571,Consumer
Office Supplies,1,10/19/2015,2,Consumer
Furniture,1,11/13/2014,1130,Consumer
Office Supplies,1,1/25/2015,390,Consumer
Technology,1,10/18/2015,1073,Consumer
Furniture,1,12-12-2014,115,Home Office
Office Supplies,1,4/23/2015,11,Consumer
Office Supplies,1,01-01-2015,63,Home Office
Furniture,1,11-09-2014,19,Home Office
Office Supplies,1,10-12-2014,232,Home Office
Technology,1,03-04-2015,305,Home Office
Furniture,1,4/17/2016,1355,Consumer
Furniture,1,1/24/2015,369,Corporate
Office Supplies,1,11/27/2015,19,Consumer
Office Supplies,1,11-02-2015,106,Corporate
Office Supplies,1,01-06-2014,26,Home Office
Technology,1,11/16/2016,649,Consumer
Furniture,1,2/22/2015,354,Consumer
Furniture,1,5/29/2015,290,Corporate
Office Supplies,1,05-12-2015,166,Consumer
Office Supplies,1,09-01-2016,122,Corporate
Technology,1,12/17/2016,30,Consumer
Furniture,1,4/26/2014,5,Consumer
Furniture,1,4/27/2014,164,Home Office
Office Supplies,1,4/14/2014,11,Consumer
Office Supplies,1,7/15/2015,53,Corporate
Technology,1,12/19/2014,178,Consumer
Furniture,1,8/25/2016,1091,Consumer
Office Supplies,1,5/15/2014,18,Consumer
Office Supplies,1,04-04-2014,57,Corporate
Technology,1,10-09-2015,2171,Consumer
Technology,1,3/16/2014,223,Corporate
Furniture,1,3/20/2015,1035,Home Office
Office Supplies,1,9/18/2015,7,Home Office
Furniture,1,02-12-2015,283,Consumer
Furniture,1,9/16/2016,95,Home Office
Office Supplies,1,04-07-2015,6,Consumer
Office Supplies,1,12-05-2014,8,Home Office
Technology,1,02-09-2016,547,Consumer
Technology,1,12-08-2015,322,Home Office
Furniture,1,09-03-2015,13,Corporate
Office Supplies,1,9/23/2016,58,Corporate
Furniture,1,12-05-2014,373,Corporate
Office Supplies,1,7/13/2015,132,Corporate
Furniture,1,3/26/2015,228,Consumer
Office Supplies,1,10-03-2015,122,Consumer
Office Supplies,1,5/23/2016,92,Corporate
Office Supplies,1,10/28/2014,20,Home Office
Technology,1,8/25/2016,455,Corporate
Furniture,1,09-01-2016,133,Consumer
Office Supplies,1,5/14/2016,591,Consumer
Technology,1,06-07-2016,85,Consumer
Furniture,1,8/28/2014,375,Consumer
Furniture,1,9/13/2016,626,Corporate
Furniture,1,03-03-2015,632,Home Office
Office Supplies,1,6/13/2015,1216,Consumer
Office Supplies,1,6/21/2015,187,Corporate
Technology,1,3/16/2016,1336,Consumer
Office Supplies,1,11-12-2014,186,Consumer
Office Supplies,1,01-08-2014,79,Home Office
Technology,1,09-11-2016,497,Consumer
Furniture,1,5/31/2015,45,Consumer
Office Supplies,1,3/28/2014,11,Home Office
Technology,1,9/13/2014,149,Home Office
Furniture,1,04-02-2016,29,Consumer
Office Supplies,1,9/30/2014,396,Consumer
Office Supplies,1,03-11-2014,115,Corporate
Furniture,1,3/16/2016,115,Consumer
Office Supplies,1,12/28/2016,67,Consumer
Office Supplies,1,03-06-2014,307,Corporate
Furniture,1,2/25/2016,289,Consumer
Furniture,1,10/30/2014,252,Corporate
Office Supplies,1,02-10-2014,321,Consumer
Office Supplies,1,06-07-2016,27,Corporate
Technology,1,3/13/2015,1955,Consumer
Technology,1,8/16/2014,512,Corporate
Office Supplies,1,5/16/2014,47,Consumer
Office Supplies,1,12/28/2014,48,Corporate
Technology,1,8/14/2014,286,Consumer
Furniture,1,09-01-2014,1320,Corporate
Furniture,1,08-11-2016,522,Home Office
Office Supplies,1,10/16/2016,131,Corporate
Office Supplies,1,11/21/2015,940,Home Office
Technology,1,6/20/2015,22,Home Office
Office Supplies,1,1/26/2015,45,Corporate
Office Supplies,1,9/18/2016,16,Home Office
Office Supplies,1,02-09-2015,1017,Consumer
Technology,1,2/28/2014,254,Consumer
Furniture,1,2/28/2015,906,Consumer
Furniture,1,8/20/2014,287,Corporate
Office Supplies,1,3/29/2015,1893,Consumer
Technology,1,07-06-2016,3511,Consumer
Technology,1,04-03-2015,24,Corporate
Furniture,1,7/26/2014,28,Consumer
Furniture,1,09-09-2015,38,Home Office
Office Supplies,1,9/20/2014,4,Consumer
Office Supplies,1,04-07-2015,113,Home Office
Office Supplies,1,7/13/2016,578,Consumer
Office Supplies,1,4/25/2014,5,Home Office
Furniture,1,5/28/2016,302,Consumer
Furniture,1,8/19/2016,88,Corporate
Office Supplies,1,4/18/2014,1629,Consumer
Office Supplies,1,05-09-2014,484,Corporate
Technology,1,7/29/2016,39,Consumer
Technology,1,3/25/2016,3939,Corporate
Technology,1,9/19/2014,266,Home Office
Furniture,1,01-11-2015,1537,Corporate
Office Supplies,1,04-09-2015,62,Consumer
Office Supplies,1,06-05-2014,126,Corporate
Office Supplies,1,5/28/2015,23,Home Office
Technology,1,5/16/2016,293,Corporate
Technology,1,10/17/2015,556,Home Office
Furniture,1,04-07-2014,168,Home Office
Office Supplies,1,10/26/2016,18,Consumer
Office Supplies,1,08-02-2015,1324,Home Office
Technology,1,02-11-2016,835,Consumer
Furniture,1,10/14/2015,210,Corporate
Furniture,1,04-06-2015,131,Home Office
Office Supplies,1,1/23/2016,793,Consumer
Office Supplies,1,5/24/2014,539,Corporate
Office Supplies,1,11-08-2014,6,Home Office
Technology,1,3/17/2016,248,Corporate
Office Supplies,1,9/17/2015,306,Consumer
Office Supplies,1,02-03-2014,18,Corporate
Technology,1,2/17/2016,608,Consumer
Technology,1,1/16/2016,117,Corporate
Furniture,1,7/29/2016,747,Consumer
Furniture,1,02-03-2014,6,Corporate
Furniture,1,8/27/2016,65,Home Office
Office Supplies,1,02-08-2015,27,Consumer
Office Supplies,1,3/28/2016,32,Corporate
Office Supplies,1,06-08-2014,94,Home Office
Furniture,1,7/30/2014,81,Consumer
Furniture,1,11-05-2014,459,Home Office
Office Supplies,1,1/21/2016,58,Corporate
Office Supplies,1,4/22/2015,10,Home Office
Technology,1,6/13/2014,396,Corporate
Furniture,1,4/30/2016,74,Consumer
Furniture,1,07-07-2015,500,Corporate
Office Supplies,1,10/16/2016,652,Consumer
Office Supplies,1,9/20/2014,244,Corporate
Technology,1,10-10-2016,873,Corporate
Technology,1,2/13/2016,554,Home Office
Furniture,1,4/21/2016,19,Corporate
Office Supplies,1,9/17/2015,65,Consumer
Furniture,1,11/29/2015,584,Corporate
Office Supplies,1,02-02-2014,371,Consumer
Office Supplies,1,7/23/2014,296,Corporate
Furniture,1,3/17/2014,231,Corporate
Furniture,1,9/14/2016,10,Home Office
Office Supplies,1,10-09-2014,209,Consumer
Office Supplies,1,04-09-2015,1218,Corporate
Office Supplies,1,03-05-2016,359,Home Office
Technology,1,07-10-2014,18,Corporate
Office Supplies,1,12-12-2015,214,Consumer
Technology,1,4/13/2016,452,Consumer
Furniture,1,09-01-2014,1834,Consumer
Furniture,1,03-01-2015,1135,Corporate
Office Supplies,1,12-03-2016,81,Consumer
Office Supplies,1,8/19/2014,214,Corporate
Technology,1,11/20/2014,192,Consumer
Furniture,1,09-07-2015,794,Consumer
Furniture,1,7/26/2014,184,Corporate
Office Supplies,1,10-12-2016,1261,Consumer
Office Supplies,1,4/24/2015,23,Home Office
Technology,1,12-11-2016,898,Consumer
Furniture,1,5/25/2016,1617,Consumer
Furniture,1,09-04-2014,119,Corporate
Office Supplies,1,10-03-2016,200,Consumer
Office Supplies,1,2/25/2016,295,Corporate
Technology,1,3/14/2015,53,Consumer
Office Supplies,1,12-11-2014,30,Consumer
Furniture,1,3/13/2015,9254,Consumer
Furniture,1,10-01-2014,24,Corporate
Furniture,1,12-07-2014,372,Home Office
Office Supplies,1,04-03-2014,430,Consumer
Office Supplies,1,5/20/2016,31,Corporate
Office Supplies,1,5/26/2015,28,Home Office
Technology,1,02-03-2015,994,Consumer
Furniture,1,2/20/2016,22,Corporate
Office Supplies,1,4/23/2016,550,Consumer
Office Supplies,1,09-11-2016,718,Corporate
Office Supplies,1,9/18/2015,17,Home Office
Technology,1,1/23/2015,2551,Corporate
Furniture,1,1/24/2014,118,Home Office
Office Supplies,1,1/18/2016,21,Corporate
Office Supplies,1,12-09-2016,7,Home Office
Technology,1,3/22/2015,274,Consumer
Technology,1,9/27/2015,67,Corporate
Office Supplies,1,10/26/2015,1610,Consumer
Office Supplies,1,11/23/2016,88,Corporate
Furniture,1,1/18/2015,1622,Consumer
Furniture,1,11-02-2015,185,Corporate
Furniture,1,04-02-2014,1144,Home Office
Office Supplies,1,4/20/2016,1328,Consumer
Office Supplies,1,7/31/2016,24,Corporate
Office Supplies,1,10/18/2014,8,Home Office
Technology,1,03-12-2015,811,Consumer
Technology,1,7/30/2014,1196,Corporate
Technology,1,8/23/2014,507,Home Office
Furniture,1,01-02-2014,223,Consumer
Furniture,1,6/14/2014,53,Home Office
Office Supplies,1,05-10-2016,57,Consumer
Office Supplies,1,7/15/2015,68,Corporate
Office Supplies,1,12-04-2015,748,Home Office
Technology,1,05-02-2014,612,Consumer
Furniture,1,6/22/2016,450,Consumer
Furniture,1,04-12-2014,13,Corporate
Furniture,1,11-10-2014,1225,Home Office
Office Supplies,1,10-05-2014,213,Consumer
Office Supplies,1,10-07-2014,1060,Corporate
Office Supplies,1,12-01-2015,17,Home Office
Technology,1,04-08-2016,51,Consumer
Technology,1,9/21/2016,715,Home Office
Furniture,1,9/17/2016,1182,Consumer
Furniture,1,01-07-2014,292,Corporate
Office Supplies,1,07-11-2016,259,Consumer
Office Supplies,1,5/17/2015,33,Corporate
Office Supplies,1,10-04-2016,12,Home Office
Technology,1,12-02-2015,1155,Corporate
Technology,1,5/21/2015,172,Home Office
Office Supplies,1,6/23/2016,450,Consumer
Office Supplies,1,4/25/2016,796,Corporate
Office Supplies,1,2/19/2015,194,Home Office
Technology,1,4/23/2016,2226,Consumer
Technology,1,12-06-2016,253,Corporate
Furniture,1,1/18/2015,27,Consumer
Office Supplies,1,2/26/2014,146,Consumer
Office Supplies,1,1/23/2015,150,Corporate
Office Supplies,1,10/15/2016,175,Home Office
Technology,1,08-12-2014,2059,Consumer
Office Supplies,1,3/13/2014,321,Consumer
Office Supplies,1,2/26/2016,378,Corporate
Technology,1,04-11-2015,308,Consumer
Technology,1,09-06-2015,34,Corporate
Office Supplies,1,01-09-2014,3,Consumer
Office Supplies,1,5/16/2016,130,Corporate
Office Supplies,1,3/16/2016,23,Home Office
Technology,1,10-06-2016,586,Consumer
Technology,1,4/23/2014,337,Home Office
Furniture,1,07-09-2015,12,Consumer
Office Supplies,1,12/16/2016,108,Consumer
Office Supplies,1,05-07-2016,217,Corporate
Office Supplies,1,06-04-2016,236,Home Office
Technology,1,9/27/2015,501,Consumer
Technology,1,5/25/2016,86,Corporate
Furniture,1,12/26/2015,141,Consumer
Office Supplies,1,4/13/2016,34,Consumer
Office Supplies,1,4/26/2014,13,Corporate
Technology,1,5/15/2016,66,Consumer
Furniture,1,6/16/2015,409,Corporate
Furniture,1,7/18/2014,67,Home Office
Office Supplies,1,05-02-2014,30,Consumer
Office Supplies,1,4/26/2016,21,Home Office
Furniture,1,8/24/2015,390,Consumer
Office Supplies,1,01-11-2015,67,Corporate
Office Supplies,1,02-10-2016,68,Home Office
Technology,1,8/30/2014,297,Consumer
Furniture,1,06-03-2014,127,Consumer
Furniture,1,12/31/2014,62,Corporate
Office Supplies,1,12/28/2015,3,Consumer
Furniture,1,9/19/2016,421,Consumer
Office Supplies,1,9/20/2014,409,Consumer
Office Supplies,1,08-05-2014,81,Corporate
Technology,1,01-02-2016,613,Consumer
Technology,1,5/29/2016,701,Corporate
Furniture,1,03-12-2016,333,Corporate
Office Supplies,1,11/28/2014,1611,Consumer
Office Supplies,1,02-12-2016,84,Corporate
Furniture,1,09-03-2014,977,Consumer
Office Supplies,1,6/23/2016,20,Consumer
Technology,1,03-08-2015,30,Consumer
Furniture,1,6/20/2015,229,Consumer
Furniture,1,9/24/2014,1464,Home Office
Office Supplies,1,2/22/2016,82,Consumer
Office Supplies,1,10-08-2014,66,Home Office
Technology,1,07-03-2016,388,Consumer
Technology,1,4/26/2015,62,Home Office
Furniture,1,06-01-2015,317,Consumer
Technology,1,12-01-2014,71,Consumer
Furniture,1,07-11-2015,2654,Consumer
Office Supplies,1,2/18/2016,5,Consumer
Office Supplies,1,1/18/2015,9,Home Office
Technology,1,6/20/2014,277,Consumer
Technology,1,5/17/2016,296,Home Office
Technology,1,05-08-2014,734,Corporate
Office Supplies,1,02-05-2015,86,Consumer
Furniture,1,3/22/2014,9,Consumer
Office Supplies,1,7/13/2015,19,Consumer
Office Supplies,1,1/26/2015,71,Home Office
Technology,1,10/28/2015,245,Consumer
Technology,1,10/25/2016,29,Home Office
Office Supplies,1,3/29/2014,38,Consumer
Office Supplies,1,6/29/2016,36,Corporate
Office Supplies,1,10/25/2016,1739,Home Office
Technology,1,7/29/2014,141,Corporate
Technology,1,1/18/2014,232,Home Office
Furniture,1,11-09-2016,387,Consumer
Furniture,1,08-09-2016,16,Corporate
Office Supplies,1,07-12-2015,21,Consumer
Technology,1,6/30/2016,245,Corporate
Office Supplies,1,11/22/2014,16,Consumer
Furniture,1,6/26/2016,1313,Consumer
Office Supplies,1,4/28/2016,139,Consumer
Office Supplies,1,8/16/2014,3,Corporate
Technology,1,10-12-2014,762,Consumer
Furniture,1,7/14/2014,368,Corporate
Furniture,1,8/14/2016,441,Home Office
Office Supplies,1,10/15/2016,23,Corporate
Office Supplies,1,06-12-2014,3,Home Office
Furniture,1,04-08-2016,243,Consumer
Furniture,1,05-10-2015,812,Corporate
Office Supplies,1,6/25/2015,133,Consumer
Technology,1,12/28/2015,138,Corporate
Office Supplies,1,08-07-2015,1087,Corporate
Technology,1,09-08-2014,162,Corporate
Furniture,1,1/20/2014,57,Consumer
Office Supplies,1,03-06-2015,49,Consumer
Office Supplies,1,09-08-2014,234,Corporate
Furniture,1,7/22/2014,14,Corporate
Office Supplies,1,10-05-2014,161,Consumer
Technology,1,9/23/2015,1478,Corporate
Technology,1,12/19/2014,261,Home Office
Furniture,1,03-06-2014,749,Consumer
Office Supplies,1,11/20/2015,660,Consumer
Office Supplies,1,11/26/2014,436,Corporate
Office Supplies,1,02-01-2015,76,Home Office
Technology,1,10-10-2015,1153,Consumer
Furniture,1,6/18/2015,952,Consumer
Office Supplies,1,11-12-2015,21,Consumer
Office Supplies,1,12/26/2014,3,Home Office
Technology,1,12/31/2015,2025,Consumer
Technology,1,6/21/2015,4,Corporate
Technology,1,9/18/2015,30,Home Office
Furniture,1,9/26/2015,1547,Consumer
Furniture,1,3/14/2014,2333,Home Office
Office Supplies,1,1/31/2014,304,Consumer
Office Supplies,1,3/20/2014,26,Corporate
Technology,1,01-09-2016,421,Consumer
Technology,1,4/22/2015,345,Corporate
Furniture,1,10/21/2015,1449,Corporate
Furniture,1,08-11-2014,46,Home Office
Office Supplies,1,1/20/2014,6,Corporate
Technology,1,11/29/2014,1316,Home Office
Furniture,1,1/22/2016,186,Corporate
Office Supplies,1,11-04-2016,597,Consumer
